Entity,Label
extraocular movements,DISEASE
lymphadenopathy,DISEASE
murmurs,DISEASE
bandemia,DISEASE
Sodium potassium,CHEMICAL
bicarbonate creatinine,CHEMICAL
Pulmonary Dyspnea,DISEASE
chronic obstructive pulmonary disease emphysema,DISEASE
Medrol,CHEMICAL
oxygen,CHEMICAL
infection,DISEASE
Zithromax,CHEMICAL
cardiac wheezes,DISEASE
pulmonary embolism,DISEASE
antitrypsin,CHEMICAL
Pulmonary Embolism,DISEASE
Lovenox,CHEMICAL
Anxiety,DISEASE
Risperidone,CHEMICAL
Dexamethasone,CHEMICAL
Vincristine Decadron,CHEMICAL
vincristine Doxil,CHEMICAL
Allopurinol,CHEMICAL
congestive obstructive pulmonary disease,DISEASE
saturated,CHEMICAL
Singulair,CHEMICAL
prednisone,CHEMICAL
Decadron,CHEMICAL
prednisone,CHEMICAL
Bactrim,CHEMICAL
prednisone,CHEMICAL
pulmonary embolism,DISEASE
Lovenox,CHEMICAL
Hyponatremia,DISEASE
hyponatremia,DISEASE
sodium,CHEMICAL
myeloma Congestive obstructive pulmonary disease,DISEASE
Pulmonary embolism Hyponatremia,DISEASE
Risperdal Protonix,CHEMICAL
Nystatin,CHEMICAL
prednisone Bactrim,CHEMICAL
prednisone,CHEMICAL
Flovent inhaler,CHEMICAL
Combivent inhaler,CHEMICAL
Prednisone,CHEMICAL
Montelukast Allopurinol,CHEMICAL
sodium,CHEMICAL
congestive obstructive pulmonary disease,DISEASE
Allergies,DISEASE
Dilantin,CHEMICAL
abdominal back pain,DISEASE
pancreatitis,DISEASE
abdominal pain,DISEASE
inability have bowel movement inability,DISEASE
diarrhea,DISEASE
Pancreatitis Migraines,DISEASE
infectious disease,DISEASE
deceased leukemia,DISEASE
colon cancer,DISEASE
Constitutional pain,DISEASE
guarding hypoactive bowel sounds costovertebral angle tenderness,DISEASE
Glucose,CHEMICAL
Calcium,CHEMICAL
Lactate,CHEMICAL
Lactate,CHEMICAL
Nitrite,CHEMICAL
Glucose,CHEMICAL
loop obstruction,DISEASE
infection,DISEASE
lower lobe airspace opacity,DISEASE
pneumonia,DISEASE
pleural effusions,DISEASE
lower lobe pneumonia Small bilateral pleural effusion left basilar atelectasis,DISEASE
infection,DISEASE
pulmonary embolus aortic dissection Small mediastinal axillary lymph nodes which,DISEASE
pneumonia,DISEASE
pleural effusions,DISEASE
pain,DISEASE
morphine,CHEMICAL
Cefazolin Flagyl,CHEMICAL
confusion,DISEASE
oxygen,CHEMICAL
lower lobe pneumonia,DISEASE
Flagyl,CHEMICAL
pain,DISEASE
tylenol,CHEMICAL
oxycodone,CHEMICAL
loose stools Stool,DISEASE
pneumonia,DISEASE
Levofloxacin,CHEMICAL
pain,DISEASE
Ramipril,CHEMICAL
Trazodone,CHEMICAL
Gabapentin Capsule,CHEMICAL
Trileptal,CHEMICAL
trileptal,CHEMICAL
Oxycodone Acetaminophen,CHEMICAL
Ramipril,CHEMICAL
Trazodone,CHEMICAL
Acetaminophen,CHEMICAL
Levaquin,CHEMICAL
Gabapentin Capsule,CHEMICAL
Trileptal,CHEMICAL
trileptal,CHEMICAL
hernia,DISEASE
necrotic jejunum Pneumonia,DISEASE
chest pain shortness breath fever,DISEASE
abdominal pain distention,DISEASE
nausea vomiting inability,DISEASE
constipation,DISEASE
Colace,CHEMICAL
pain,DISEASE
pain,DISEASE
Allergies,DISEASE
rest angina,DISEASE
vessel disease,DISEASE
Cardiomyopathy,DISEASE
Ventricular tachycardia AICD Atrial flutter,DISEASE
Hypertension,DISEASE
diabetes Mellitus Obesity Conduction disease LAFB Peripheral vascular disease Right Doctor Last Name bypas Left claudication Right thigh tumor radiation excision Social History Race caucasian Last Dental Exam Lives with wife Occupation owns company Tobacco quit,DISEASE
ETOH,CHEMICAL
cirrhosis,DISEASE
Chest Lungs,DISEASE
distended tender bowel sounds Extremities Warm,DISEASE
Edema,DISEASE
left ventricular systolic dysfunction,DISEASE
depressed,DISEASE
depressed,DISEASE
calcification coronary cusp,DISEASE
aortic valve stenosis aortic regurgitation,DISEASE
mitral regurgitation,DISEASE
mitral valve prolapse flail,DISEASE
phenylephrine,CHEMICAL
Glucose,CHEMICAL
Lisinopril,CHEMICAL
pain,DISEASE
Lisinopril Atenolol,CHEMICAL
Vytorin Fenofibrate,DISEASE
Calcium Plavix,CHEMICAL
Allergies,DISEASE
fenofibrate,CHEMICAL
simvastatin,CHEMICAL
ezetimibe,CHEMICAL
multivitamin,CHEMICAL
docusate sodium,CHEMICAL
magnesium hydroxide,CHEMICAL
ranitidine,CHEMICAL
oxycodone acetaminophen,CHEMICAL
pain,DISEASE
aspirin,CHEMICAL
cephalexin,CHEMICAL
Capsule,CHEMICAL
Lasix,CHEMICAL
potassium chloride,CHEMICAL
metoprolol tartrate,CHEMICAL
acetaminophen,CHEMICAL
pain,DISEASE
lisinopril,CHEMICAL
Cardiomyopathy,DISEASE
Ventricular tachycardia AICD,DISEASE
Atrial flutter,DISEASE
Hypertension,DISEASE
diabetes Mellitus Obesity Conduction disease LAFB Peripheral vascular disease Right Doctor Last Name bypas Left claudication Right thigh tumor,DISEASE
pain,DISEASE
Percocet,CHEMICAL
erythema,DISEASE
erythema drainage Edema,DISEASE
cream powder ointments,CHEMICAL
hematuria,DISEASE
weight loss,DISEASE
left renal mass mediastinoscopy showing metastatic Known firstname previously healthy patientn years noted,DISEASE
hematuria,DISEASE
weight loss,DISEASE
pain,DISEASE
Tylenol,CHEMICAL
left renal mass,DISEASE
renal cell carcinoma underwent mediastinoscopy with lymph node biopsy which consistent with metastatic carcinoma,DISEASE
fatigue,DISEASE
urinary infections,DISEASE
fever,DISEASE
cough hemoptysis,DISEASE
GERD,DISEASE
smoking,CHEMICAL
alcohol,CHEMICAL
respiratory distress soft Left flank incision,DISEASE
Glucose,CHEMICAL
hypotension,DISEASE
pressors,CHEMICAL
bupivicaine,CHEMICAL
pain,DISEASE
pneumothorax,DISEASE
pain,DISEASE
pain,DISEASE
hematoma,DISEASE
Tylenol Pepcid,CHEMICAL
docusate sodium,CHEMICAL
Capsule,CHEMICAL
oxycodone,CHEMICAL
pain,DISEASE
famotidine,CHEMICAL
acetaminophen,CHEMICAL
fever pain ibuprofen,DISEASE
pain,DISEASE
Left renal mass open left radical nephrectomy Discharge Condition Stable Alert,DISEASE
Tylenol,CHEMICAL
pain,DISEASE
pain,DISEASE
pain,DISEASE
Tylenol,CHEMICAL
pain,DISEASE
Tylenol,CHEMICAL
pain,DISEASE
Tylenol acetaminophen,CHEMICAL
alcohol,CHEMICAL
Colace,CHEMICAL
constipation constipation,DISEASE
pain,DISEASE
aspirin,CHEMICAL
constipating,DISEASE
fracture,DISEASE
fracture,DISEASE
fracture,DISEASE
liver pulmonary contusions,DISEASE
ETOH,CHEMICAL
hemorrhage,DISEASE
subarachnoid hemorrhage,DISEASE
axonal injury,DISEASE
traumatic malalignment,DISEASE
Extensive pulmonary contusions,DISEASE
fractures,DISEASE
varus angulation distal fragment,DISEASE
thrombosis,DISEASE
atelectasis,DISEASE
right lobe liver laceration,DISEASE
trauma,DISEASE
dilantin,CHEMICAL
hematoma,DISEASE
compartment symdrome,DISEASE
fevers,DISEASE
increase mobility increase cognitive abilities memory decreased,DISEASE
confusion,DISEASE
Vancomycin,CHEMICAL
pneumonia,DISEASE
Acetaminophen,CHEMICAL
Bisacodyl,CHEMICAL
Suppository,CHEMICAL
Sodium,CHEMICAL
Bacitracin,CHEMICAL
Heparin,CHEMICAL
Albuterol Sulfate,CHEMICAL
Ipratropium Bromide,CHEMICAL
Aspirin,CHEMICAL
Vancomycin,CHEMICAL
Morphine,CHEMICAL
pain,DISEASE
pain,DISEASE
MSIR Heparin,CHEMICAL
heparin,CHEMICAL
Heparin,CHEMICAL
pulmonary contusions,DISEASE
Acute blood loss anemia,DISEASE
multiple injuries,DISEASE
head trauma fractures knee fracture liver laceration,DISEASE
Allergies,DISEASE
exertional angina,DISEASE
coronary artery disease,DISEASE
exertional angina,DISEASE
LVgram,CHEMICAL
coronary artery disease,DISEASE
pain,DISEASE
Coronary artery disease,DISEASE
Hypertension,DISEASE
ETOH,CHEMICAL
Chest Lungs,DISEASE
distended tender bowel sounds Extremities Warm,DISEASE
Edema,DISEASE
PHOS BILI,CHEMICAL
CREAT,CHEMICAL
pneumothorax,DISEASE
atelectasis effusion,DISEASE
atrial septal defect,DISEASE
bleeding,DISEASE
atrial septal defect,DISEASE
aortic valve stenosis,DISEASE
aortic regurgitation,DISEASE
mitral regurgitation,DISEASE
coronary artery disease,DISEASE
bleeding,DISEASE
Vancomycin,CHEMICAL
keflex,CHEMICAL
Lisinopril,CHEMICAL
Lipitor,CHEMICAL
Plavix,CHEMICAL
aspirin,CHEMICAL
docusate sodium,CHEMICAL
Capsule,CHEMICAL
atorvastatin,CHEMICAL
Lisinopril,CHEMICAL
Lopressor Plavix,CHEMICAL
Lipitor,CHEMICAL
lisinopril,CHEMICAL
metoprolol tartrate,CHEMICAL
furosemide,CHEMICAL
potassium chloride,CHEMICAL
Keflex Capsule,CHEMICAL
Capsule,CHEMICAL
pain,DISEASE
erythema,DISEASE
erythema drainage Edema,DISEASE
cream powder ointments,CHEMICAL
Allergies Ampicillin Thorazine,DISEASE
Downs Syndrome MRSA pneumonia respiratory failure,DISEASE
pneumonia,DISEASE
respiratory distress,DISEASE
Rocephin,CHEMICAL
pneumonia,DISEASE
pneumonia,DISEASE
propofol,CHEMICAL
dopamine,CHEMICAL
serosanguinous,DISEASE
pneumonia,DISEASE
effusions pulmonary edema,DISEASE
Pneumonia,DISEASE
Colitis,DISEASE
Colitis,DISEASE
cipro,CHEMICAL
Seizure,DISEASE
keppra transaminitis,CHEMICAL
Glomerulonephritis,DISEASE
CTAB,CHEMICAL
erythema,DISEASE
skin cachectic edema,DISEASE
command distress,DISEASE
erythema,DISEASE
CTAB,CHEMICAL
cachectic edema,DISEASE
UROBILNGN LEUK,CHEMICAL
CREAT,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Vanco,CHEMICAL
pulmonary interstitial edema,DISEASE
pneumonitis,DISEASE
pneumonia,DISEASE
pneumonia,DISEASE
effusions pulmonary edema,DISEASE
lymphadenopathy,DISEASE
Downs Syndrome MRSA pneumonia respiratory failure,DISEASE
respiratory failure,DISEASE
respiratory distress,DISEASE
respiratory distress,DISEASE
pneumonia,DISEASE
pneumonia,DISEASE
Vancomycin,CHEMICAL
Cefepime,CHEMICAL
steroids,CHEMICAL
adrenal insufficiency,DISEASE
bactrim,CHEMICAL
stoma,DISEASE
levaquin cefepime,CHEMICAL
colitis,DISEASE
Pseudomembranous colitis,DISEASE
Down syndrome Anxiety,DISEASE
ativan,CHEMICAL
anxiety,DISEASE
prednisone,CHEMICAL
steroids,CHEMICAL
sodium,CHEMICAL
Steroid,CHEMICAL
steroids,CHEMICAL
renal insufficiency,DISEASE
seizure disorder,DISEASE
seizure,DISEASE
MRSA pneumonia,DISEASE
Keppra,CHEMICAL
heparin Famotidine,CHEMICAL
Prednisone,CHEMICAL
Omeprazole Keppra,CHEMICAL
Ativan,CHEMICAL
anxiety,DISEASE
oxycodone,CHEMICAL
Bacitracin,CHEMICAL
Subglottic stenosis,DISEASE
pneumonia,DISEASE
Adrenal insufficiency Down syndrome Seizure disorder,DISEASE
respiratory failure,DISEASE
pneumonia,DISEASE
steroids,CHEMICAL
sodium,CHEMICAL
steroid,CHEMICAL
Bactrim,CHEMICAL
lung infection,DISEASE
NameIs,DISEASE
steroids,CHEMICAL
Cefepime,CHEMICAL
Levofloxacin,CHEMICAL
Bactrim,CHEMICAL
Prednisone,CHEMICAL
MALA,CHEMICAL
MALA,CHEMICAL
Allergies Penicillins Keflex,CHEMICAL
tumor,DISEASE
diabetes mellitus,DISEASE
hypertension,DISEASE
peripheral First disease,DISEASE
congenital pulmonic valve stenosis,DISEASE
atrial fibrillation,DISEASE
warfarin,CHEMICAL
diabetic nephropathy,DISEASE
tumor,DISEASE
tumor,DISEASE
tumor,DISEASE
dexamethasone,CHEMICAL
hematoma,DISEASE
Aspirin heparin,CHEMICAL
Clopidogrel,CHEMICAL
warfarin,CHEMICAL
furosemide,CHEMICAL
diabetes atrial fibrillation,DISEASE
hyponatremia,DISEASE
constipation,DISEASE
diabetes mellitus,DISEASE
hypertension,DISEASE
peripheral neuropathy,DISEASE
venous stasis neuropathic ulcers,DISEASE
left lower extremities stage diabetic,DISEASE
nephropathy renal insufficiency,DISEASE
creatinine,CHEMICAL
Atrial fibrillation,DISEASE
pulmonic valve stenosis,DISEASE
peripheral edema anasarca,DISEASE
hyponatremia,DISEASE
pain,DISEASE
cord meningioma,DISEASE
cord COPD,DISEASE
artery disease,DISEASE
lower extremity ulcers,DISEASE
alcoholism heroin abuse,DISEASE
depressed,DISEASE
depression,DISEASE
smoking,CHEMICAL
alcohol,CHEMICAL
alcoholism,DISEASE
Heart disease,DISEASE
pain,DISEASE
movement extremities Extrem edema,DISEASE
CREAT,CHEMICAL
intervertebral disc spacer immediate hardware complication Post,DISEASE
cord compression,DISEASE
meningioma,DISEASE
hemorrhage,DISEASE
emphysema hyperdense,DISEASE
hyperdensity,DISEASE
hematoma,DISEASE
tumor,DISEASE
meningioma,DISEASE
intraspinal hematoma,DISEASE
cord atrophy,DISEASE
myelomalacia,DISEASE
tumor,DISEASE
tumor,DISEASE
diabetes mellitus,DISEASE
atrial fibrillation,DISEASE
meningioma,DISEASE
myelopathy meningioma,DISEASE
meningioma,DISEASE
dexamethasone,CHEMICAL
hematoma,DISEASE
aspirin heparin,CHEMICAL
Clopidogrel,CHEMICAL
warfarin,CHEMICAL
weakness,DISEASE
Diastolic heart failure,DISEASE
furosemide,CHEMICAL
lasix,CHEMICAL
plavix,CHEMICAL
Atrial fibrillation,DISEASE
atrial fibrillation,DISEASE
glargine,CHEMICAL
humalog,CHEMICAL
ulcer,DISEASE
ulcer,DISEASE
ulcer,DISEASE
psychiatric,DISEASE
psychiatric,DISEASE
pain syndrome,DISEASE
hyponatremia,DISEASE
hyponatremia,DISEASE
sodium,CHEMICAL
Docusate Sodium,CHEMICAL
Furosemide,CHEMICAL
Ascorbic,CHEMICAL
Pantoprazole,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Trazodone,CHEMICAL
insomnia Acetaminophen,DISEASE
fever,DISEASE
Methocarbamol,CHEMICAL
Albuterol Sulfate,CHEMICAL
shortness breath,DISEASE
Hydromorphone,CHEMICAL
pain,DISEASE
Simvastatin,CHEMICAL
Hydroxyzine,CHEMICAL
Polyethylene Glycol,CHEMICAL
constipation,DISEASE
Clonazepam,CHEMICAL
anxiety,DISEASE
Cetylpyridinium,CHEMICAL
mouth sore throat Ketoconazole Cream,DISEASE
dermatitis,DISEASE
fungal infection,DISEASE
Glycerin,CHEMICAL
Suppository,CHEMICAL
constipation Hydrocodone Acetaminophen,DISEASE
headache,DISEASE
Heparin,CHEMICAL
Heparin,CHEMICAL
Glargine,CHEMICAL
Hydroxyzine,CHEMICAL
pruritis Clonazepam,CHEMICAL
Furosemide,CHEMICAL
Clopidogrel,CHEMICAL
Famotidine,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Ascorbic Acid,CHEMICAL
Methocarbamol,CHEMICAL
Albuterol Sulfate,CHEMICAL
shortness breath,DISEASE
Sodium Capsule,CHEMICAL
Dilaudid,CHEMICAL
simvistatin,CHEMICAL
Ketoconazole,CHEMICAL
creatinine,CHEMICAL
lasix,CHEMICAL
ulcer,DISEASE
warfarin,CHEMICAL
tumor,DISEASE
cervical myelopathy,DISEASE
upper extremity weakness,DISEASE
tumor,DISEASE
tumor,DISEASE
upper extremity weakness worsening symptoms,DISEASE
aorta Aortic insufficiency,DISEASE
smoking,CHEMICAL
alcohol,CHEMICAL
allergies,DISEASE
nitroglycerin,CHEMICAL
tachycardia,DISEASE
tachycardia,DISEASE
Potassium,CHEMICAL
pain,DISEASE
Lopressor,CHEMICAL
Iron sulfate Percocet,CHEMICAL
Aspirin,CHEMICAL
Bactrim Lisinopril,CHEMICAL
hypotension,DISEASE
multiple sclerosis seizure disorder,DISEASE
delusions,DISEASE
hyponatremia,DISEASE
clonic seizure,DISEASE
Ativan,CHEMICAL
seizures,DISEASE
hyponatremia,DISEASE
seizures,DISEASE
Keppra Gabapentin,CHEMICAL
Tegretol,CHEMICAL
infection,DISEASE
UTIs,DISEASE
vancomycin cefepime,CHEMICAL
quadriplegic,DISEASE
Esophageal Ulcer NSAIDs small bowel,DISEASE
alcohol,CHEMICAL
diabetes,DISEASE
wheezes rales ronchi,DISEASE
distended bowel sounds present rebound,DISEASE
tenderness guarding organomegaly,DISEASE
clubbing cyanosis edema,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Osmolal,CHEMICAL
Osmolal,CHEMICAL
Calcium,CHEMICAL
bact,CHEMICAL
bact,CHEMICAL
hydronephrosis mass,DISEASE
ileus,DISEASE
liver lesion,DISEASE
adenoma,DISEASE
multiple sclerosis,DISEASE
seizure,DISEASE
Ativan,CHEMICAL
hyponatremic,DISEASE
hyponatremia,DISEASE
pneumonia,DISEASE
seizure,DISEASE
hyponatremia,DISEASE
carbamezapine,CHEMICAL
Carbamezapine,CHEMICAL
hyponatremia,DISEASE
carbamezapine,CHEMICAL
seizures,DISEASE
infection,DISEASE
pneumonia,DISEASE
pneumonias,DISEASE
vancomycin cefepime pneumonia,CHEMICAL
pneumonia,DISEASE
pseudomonal bacteriuria,DISEASE
ciprofloxacin,CHEMICAL
leukocytosis,DISEASE
infection,DISEASE
cipro,CHEMICAL
hypertensive,DISEASE
hypotension,DISEASE
chest pain headache visual changes IVFs were given however,DISEASE
hypotension,DISEASE
infection,DISEASE
sepsis,DISEASE
clonidine,CHEMICAL
fever,DISEASE
Pneumonia,DISEASE
meropenem,CHEMICAL
meropenem,CHEMICAL
drug fever,DISEASE
infection,DISEASE
keppra,CHEMICAL
seizures,DISEASE
Keppra,CHEMICAL
infection,DISEASE
liver lesion,DISEASE
baclofen,CHEMICAL
malignancy,DISEASE
ileus,DISEASE
OXYBUTYNIN,CHEMICAL
BISACODYL,CHEMICAL
Carvedilol,CHEMICAL
Fentanyl,CHEMICAL
Furosemide,CHEMICAL
Lactulose,CHEMICAL
Syrup,CHEMICAL
Acetaminophen,CHEMICAL
Oxybutynin Chloride,CHEMICAL
Ascorbic Acid,CHEMICAL
Docusate Sodium,CHEMICAL
Calcium Carbonate,CHEMICAL
Omeprazole,CHEMICAL
Simvastatin,CHEMICAL
Brimonidine,CHEMICAL
Modafinil,CHEMICAL
Ciprofloxacin,CHEMICAL
Clonidine,CHEMICAL
Bisacodyl,CHEMICAL
Levetiracetam,CHEMICAL
Combivent,CHEMICAL
TRAVATAN,CHEMICAL
Capsule,CHEMICAL
Capsule,CHEMICAL
Ergocalciferol Vitamin,CHEMICAL
allergy,DISEASE
Hyponatremia,DISEASE
sodium,CHEMICAL
tract infection,DISEASE
urinary tract infection cipro,DISEASE
sodium,CHEMICAL
keppra,CHEMICAL
chills,DISEASE
fractures,DISEASE
reduction left pilon fracture,DISEASE
multi planar external fixator left lower extremity,DISEASE
calcaneus fracture,DISEASE
fracture,DISEASE
external fixator pilon fracture ORIF right intra articular distal fracture,DISEASE
liver disease,DISEASE
alcohol,CHEMICAL
cocaine,CHEMICAL
fractures,DISEASE
haldol ativan,CHEMICAL
atrial flutter,DISEASE
diltiazem,CHEMICAL
pain,DISEASE
Abdominal pain,DISEASE
ammonia,CHEMICAL
EtOH,CHEMICAL
polysubstance abuse,DISEASE
cocaine,CHEMICAL
icteric sclerae,DISEASE
tachy murmurs rubs gallops,DISEASE
wheezes rales rhonchi,DISEASE
hepatosplenomegaly,DISEASE
bruising,DISEASE
asterixis,DISEASE
fracture,DISEASE
Left Comminuted fracture calcaneus,DISEASE
sliver,CHEMICAL
calcification,DISEASE
intraosseous ligament small cortical fracture,DISEASE
fractures,DISEASE
fracture,DISEASE
Comminuted distal right fibular fracture,DISEASE
displacement Comminuted left calcaneal fracture,DISEASE
distended nonfasting stage,DISEASE
gallstones,DISEASE
cholecystitis,DISEASE
intracranial hemorrhage,DISEASE
bronchoalveolar cell carcinoma,DISEASE
atherosclerotic coronary artery calcification Chest pulmonary embolism,DISEASE
fractures,DISEASE
Comminuted left calcaneal fracture,DISEASE
hemorrhage,DISEASE
infarct,DISEASE
fracture,DISEASE
fracture,DISEASE
fractures,DISEASE
fracture,DISEASE
fractures,DISEASE
fracture,DISEASE
fracture,DISEASE
fractures,DISEASE
Lateral subluxation peroneal tendons with respect fibula Probable tear anterior talofibular ligament Echo left atrium mildly dilated Left ventricular wall thickness cavity size regional global systolic function,DISEASE
mitral regurgitation,DISEASE
mitral valve prolapse,DISEASE
EtOH,CHEMICAL
thiamine folate multivitamin,CHEMICAL
metoprolol,CHEMICAL
diltiazem,CHEMICAL
ammonia,CHEMICAL
lactulose,CHEMICAL
fractures,DISEASE
delirium,DISEASE
vancomycin flagyl,CHEMICAL
ceftriaxone flagyl,CHEMICAL
Zosyn,CHEMICAL
Vancomycin,CHEMICAL
Vancomycin,CHEMICAL
pneumonia,DISEASE
pneuomonitis,DISEASE
delirium,DISEASE
delirium,DISEASE
fevers,DISEASE
infection,DISEASE
daptomycin,CHEMICAL
linezolid,CHEMICAL
delirium,DISEASE
haldol Zyprexa,CHEMICAL
delirium,DISEASE
alcohol,CHEMICAL
benzodiazepine,CHEMICAL
delririum,CHEMICAL
Delirium,DISEASE
haldol,CHEMICAL
alcohol abuse,DISEASE
Afib flutter,DISEASE
febrile afib flutter,DISEASE
metoprolol,CHEMICAL
metoprolol diltiazem,CHEMICAL
fever,DISEASE
tylenol,CHEMICAL
lovenox,CHEMICAL
atrial fibrillation,DISEASE
Diltiazem,CHEMICAL
infection,DISEASE
delirium,DISEASE
haldol,CHEMICAL
infection,DISEASE
fractures,DISEASE
fractures,DISEASE
fracture,DISEASE
lovenox,CHEMICAL
Diltiazem,CHEMICAL
Aspirin,CHEMICAL
Folic Acid,CHEMICAL
Thiamine,CHEMICAL
Calcium Carbonate,CHEMICAL
Diltiazem,CHEMICAL
Trazodone,CHEMICAL
fractures,DISEASE
pilon fracture,DISEASE
left tibiotalar joint Right calcaneus fracture,DISEASE
delirium,DISEASE
Pneumonitis,DISEASE
Alcoholism,CHEMICAL
